id,hub, authority
970,7.54E-05,0
1003,0,0.000107363
1017,0,6.29E-07
1020,0,1.58E-05
1029,1.54E-05,0
1031,0,0.000107363
1049,0,2.33E-07
1084,0,0.000120404
1097,0.000145193,0
1100,0,1.21E-06
1106,0.000299145,0
1112,0,1.58E-05
1116,6.41E-05,0
1121,0,7.82E-06
1126,0,2.55E-05
1130,0,0.000125667
1141,0.000100091,0
1172,0,4.45E-05
1181,0,1.35E-05
1187,0,0.000107363
1204,7.59E-05,3.56E-05
1224,0.000283507,0
1231,0,7.59E-06
1245,0,0.000111041
1255,0,2.55E-05
1265,0,0.000122818
1274,0,2.24E-07
1298,0,8.24E-07
1301,0,9.27E-06
1315,0,0.000107363
1316,0,2.30E-06
1326,0,2.40E-05
1353,0,1.14E-05
1360,0,9.09E-07
1361,7.40E-05,0
1380,0,5.00E-06
1383,0,3.62E-05
1385,0,0.000129868
1388,0.000437291,0
1390,0,0.000107363
1407,0,0.000126661
1409,0,2.94E-05
1425,0,3.43E-07
1431,0,0.000107363
1436,0,6.25E-06
1443,0,0.000139001
1451,3.27E-05,0
1454,9.57E-96,0
1460,0,1.50E-05
1461,0,0.000109663
1464,0,0.000174068
1476,5.31E-05,0
1487,0,1.64E-06
1497,0,0.000107363
1498,0,1.29E-05
1501,0,0.000107363
1509,0,0.000107363
1512,0,0.000107363
1514,0,0.000107363
1517,0,0.000107363
1521,0,2.14E-07
1522,0,5.45E-07
1525,0,0.000107363
1526,0,0.000107363
1533,0,0.000107363
1534,0,1.24E-06
1535,1.51E-05,0
1537,0,4.31E-06
1543,0,0.000107363
1547,0,0.000107363
1549,0,0.000107363
1554,0,2.20E-06
1561,0,0.000107363
1562,0,1.44E-06
1564,0,0.000107363
1569,0,0.000107363
1570,0.000211313,2.24E-05
1574,0,0.000107363
1575,0,0.000107363
1585,0,0.000107363
1590,0,1.29E-07
1597,0,0.000107363
1601,0,0.000107363
1608,0,0.000107363
1612,0,0.000107363
1616,1.48E-05,0
1617,0,0.000121195
1621,0,0.000107363
1623,1.57E-05,0
1631,0,0.000107363
1632,0,0.000107363
1643,0,1.80E-07
1652,0,8.27E-06
1656,0,1.52E-05
1657,0,0.000134366
1658,0,0.000107363
1662,0,1.85E-05
1671,0,0.000107363
1679,0,0.000128054
1680,0,0.000107363
1686,0,0.000107363
1687,5.42E-05,0
1691,0,3.55E-05
1693,0.000134549,1.26E-06
1700,0,0.000107363
1701,7.40E-05,0
1702,0,0.000107363
1703,0,0.000117339
1706,0,6.13E-06
1719,0,0.000107363
1720,0,0.000107363
1726,0,0.000107363
1728,0,0.000107363
1730,0,0.000107363
1732,0,1.94E-06
1734,2.04E-05,0
1735,0,0.000107363
1739,0.000188855,1.01E-07
1746,0,0.000107363
1747,0,1.94E-05
1748,0,0.000107363
1750,0,0.000107363
1751,0,0.000107363
1753,0,0.000107363
1756,0,1.58E-05
1762,0,0.000107363
1769,0,0.000107363
1775,0,0.0001128
1777,0,0.000107363
1783,0,0.000107363
1789,0,4.33E-06
1794,0,1.58E-05
1798,2.16E-05,0
1800,0,0.000107363
1804,0,0.000107363
1806,0,0.000107363
1809,0,0.000107363
1810,0,0.000107363
1811,0,0.000109933
1815,0,5.08E-06
1816,0,0.000107363
1817,0,6.56E-06
1820,0,3.26E-06
1839,0,9.40E-06
1841,0,0.000107363
1845,0,1.46E-06
1852,0.000502701,4.05E-05
1853,0,0.000107363
1855,7.40E-05,0
1856,0,0.000107363
1863,0,0.000107363
1865,0,0.000107363
1866,0,0.000157877
1877,0,0.000107363
1879,1.01E-95,0
1880,0,0.000107363
1881,0,0.000107363
1883,0,0.000107363
1890,0,0.000107363
1895,0,5.62E-06
1896,3.14E-09,0
1898,0,0.000110293
1900,0,0.000107363
1902,0,2.20E-07
1904,0,0.000107363
1908,0,1.63E-05
1910,0,9.98E-06
1913,0,0.000107363
1914,0,0.000107363
1915,0,0.000107363
1918,0,7.29E-06
1921,0,0.000108116
1923,0,0.000107363
1926,0,2.91E-06
1929,0,0.000107363
1930,3.34E-05,6.95E-95
1934,0,0.000107363
1935,0,0.000119059
1937,0,0.000107363
1945,0,0.000107363
1946,0,0.000107363
1949,0,0.000133449
1951,0,1.31E-06
1952,0,9.98E-06
1968,0,0.000107363
1979,0,0.00012663
1980,0,0.000107363
1986,0,9.91E-06
1990,0,0.000120625
1992,2.32E-05,1.59E-05
1994,0.000235275,2.64E-07
1997,0,0.0001076
1998,0,0.000107363
2001,0,2.42E-05
2002,0,0.000107363
2003,0,2.23E-05
2007,0,3.17E-05
2008,0,0.000107363
2010,0,0.000107363
2013,0,1.58E-05
2018,0,0.000107363
2019,0,8.84E-09
2021,0.000357232,0.000161338
2022,0,0.000107363
2027,0,0.000107363
2030,0,0.000107363
2035,0,0.000107363
2041,0,1.30E-05
2050,8.23E-05,0
2051,0,0.000107363
2053,0,1.13E-06
2054,0,0.000107363
2062,0,1.72E-05
2068,0,0.000107363
2069,0,0.000107363
2072,1.79E-05,0
2075,0,0.000155312
2078,0.013831318,0.000107377
2079,0,0.000107363
2084,0,0.000107363
2085,0,0.000107363
2087,5.07E-05,2.64E-07
2088,2.77E-05,0
2090,0,0.000120232
2092,0,6.93E-06
